,Date,Last Price,Volume,SMAVG (15),Unnamed: 4
452,2/25/22,4384.65,713492672,684082368,
453,2/28/22,4373.94,1036764864,708731136,
454,3/1/22,4306.26,848578496,724917888,
455,3/2/22,4386.54,737531392,733857408,
456,3/3/22,4363.49,696400576,740012608,
457,3/4/22,4328.87,744135360,745236416,
458,3/7/22,4201.09,888361728,753805504,
459,3/8/22,4170.7,920407744,769492096,
460,3/9/22,4277.88,791121920,782415680,
461,3/10/22,4259.52,650304960,786272704,
462,3/11/22,4204.31,629698944,788251328,
463,3/14/22,4173.11,722842752,783707072,
464,3/15/22,4262.45,741652608,785203712,
465,3/16/22,4357.86,800463744,794186816,
466,3/17/22,4411.67,660090880,772123264,
467,3/18/22,4463.12,2125139200,866233024,
468,3/21/22,4461.18,675390400,842141376,
469,3/22/22,4511.61,656621824,829344256,
470,3/23/22,4456.24,594060992,819779584,
471,3/24/22,4520.16,537385664,809178560,
472,3/25/22,4543.06,513752320,793819712,
473,3/28/22,4575.52,522750144,769445632,
474,3/29/22,4631.6,593642496,747661248,
475,3/30/22,4602.45,550986432,731652224,
476,3/31/22,4530.41,828500672,743531968,
477,4/1/22,4545.86,681128640,746960576,
478,4/4/22,4582.64,571697472,736884224,
479,4/5/22,4525.12,616401856,728534208,
480,4/6/22,4481.15,707574528,722341568,
481,4/7/22,4500.21,633556800,720572608,
482,4/8/22,4488.28,566893248,616689536,
483,4/11/22,4412.53,641643584,614439808,
484,4/12/22,4397.45,553125376,607540032,
485,4/13/22,4446.59,537939712,603798592,
486,4/14/22,4392.59,690094592,613979200,
487,4/18/22,4391.69,519323200,614350592,
488,4/19/22,4462.21,582040512,618303296,
489,4/20/22,4459.45,600434752,618756096,
490,4/21/22,4393.66,668508928,626590912,
491,4/22/22,4271.78,691753344,617474432,
492,4/25/22,4296.12,722679552,620244480,
493,4/26/22,4175.2,698291136,628684096,
494,4/27/22,4183.96,681879104,633049216,
495,4/28/22,4287.5,697196928,632357376,
496,4/29/22,4131.93,929282240,652072384,
497,5/2/22,4155.38,729216064,662893952,
498,5/3/22,4175.48,643786624,663036800,
499,5/4/22,4300.17,751049664,676231744,
500,5/5/22,4146.87,803991488,693968512,
501,5/6/22,4123.34,716333440,695717824,
502,5/9/22,3991.24,804816704,714750720,
503,5/10/22,4001.05,790371072,728639424,
504,5/11/22,3935.18,744675392,738255424,
505,5/12/22,3930.08,826698816,748801408,
506,5/13/22,4023.89,655747840,746401088,
