,Date,Last Price,Open Price,High Price,Low Price,Volume
208,3/10/2021,668.06,700.3,717.85,655.06,60605672
209,3/11/2021,699.6,699.4,702.5,677.18,36253892
210,3/12/2021,693.73,670.0,694.88,666.1389999999999,33583840
211,3/15/2021,707.94,694.09,713.18,684.04,29423480
212,3/16/2021,676.88,703.35,707.92,671.0,32195672
213,3/17/2021,701.81,656.87,703.73,651.01,40372452
214,3/18/2021,653.16,684.29,689.23,652.0,33369022
215,3/19/2021,654.87,646.6,657.23,624.62,42893976
216,3/22/2021,670.0,684.59,699.62,668.75,39512220
217,3/23/2021,662.16,675.77,677.8,657.51,30491870
218,3/24/2021,630.27,667.91,668.02,630.11,33795176
219,3/25/2021,640.39,613.0,645.5,609.5,39224848
220,3/26/2021,618.71,641.87,643.82,599.89,33852828
221,3/29/2021,611.29,615.64,616.48,596.02,28636984
222,3/30/2021,635.62,601.75,637.66,591.01,39432360
223,3/31/2021,667.93,646.62,672.0,641.11,33337288
224,4/1/2021,661.75,688.37,692.42,659.42,35298376
225,4/5/2021,691.05,707.71,708.16,684.7,41842768
226,4/6/2021,691.62,690.3,696.55,681.37,28271840
227,4/7/2021,670.97,687.0,691.38,667.84,26309432
228,4/8/2021,683.8,677.38,689.55,671.645,23924328
229,4/9/2021,677.02,677.77,680.97,669.43,21437088
230,4/12/2021,701.98,685.7,704.8,682.09,29135670
231,4/13/2021,762.32,712.7,763.0,710.66,44652808
232,4/14/2021,732.23,770.7,780.79,728.03,49017432
233,4/15/2021,738.85,743.1,743.69,721.31,27848900
234,4/16/2021,739.78,728.65,749.41,724.6,27979526
235,4/19/2021,714.63,719.6,725.4,691.8,39686224
236,4/20/2021,718.99,717.42,737.25,710.685,35609040
237,4/21/2021,744.12,704.77,744.84,698.0,31215514
238,4/22/2021,719.69,741.5,753.77,718.04,35590256
239,4/23/2021,729.4,719.8,737.36,715.46,28413888
240,4/26/2021,738.2,741.0,749.3,732.605,31038502
241,4/27/2021,704.74,717.96,724.0,703.35,29436996
242,4/28/2021,694.4,696.41,708.5,693.6,22271048
243,4/29/2021,677.0,699.51,702.25,668.5,28845448
244,4/30/2021,709.44,667.59,715.47,666.14,40758720
245,5/3/2021,684.9,703.8,706.0,680.5,27043144
246,5/4/2021,673.6,678.94,683.446,657.701,29739320
247,5/5/2021,670.94,681.06,685.295,667.34,21901894
248,5/6/2021,663.54,680.76,681.02,650.0,27784620
249,5/7/2021,672.37,665.8,690.0,660.22,23469172
250,5/10/2021,629.04,664.9,665.05,627.61,31392416
251,5/11/2021,617.2,599.24,627.1,595.6,46503896
252,5/12/2021,589.89,602.49,620.41,586.765,33823648
253,5/13/2021,571.69,601.545,606.46,559.65,44184916
254,5/14/2021,589.74,583.41,592.87,570.46,33370856
255,5/17/2021,576.83,575.553,589.73,561.2,32390360
256,5/18/2021,577.87,568.0,596.25,563.38,36830568
257,5/19/2021,563.46,552.55,566.21,546.98,39578396
258,5/20/2021,586.78,575.0,588.85,571.07,30821120
259,5/21/2021,580.88,596.11,596.68,580.0,26030596
260,5/24/2021,606.44,581.6,614.48,573.65,34558088
261,5/25/2021,604.69,607.31,613.99,595.71,28005932
262,5/26/2021,619.13,607.56,626.17,601.5,28639304
263,5/27/2021,630.85,620.24,631.13,616.21,26370592
264,5/28/2021,625.22,628.5,635.59,622.38,22737038
265,6/1/2021,623.9,627.8,633.8,620.55,18084890
266,6/2/2021,605.12,620.13,623.36,599.14,23302780
267,6/3/2021,572.84,601.8,604.55,571.22,30111892
268,6/4/2021,599.05,579.71,600.61,577.2,24036896
269,6/7/2021,605.13,591.825,610.0,582.88,22543682
270,6/8/2021,603.59,623.01,623.09,595.5,26053404
271,6/9/2021,598.78,602.17,611.79,597.63,16584566
272,6/10/2021,610.12,603.88,616.59,600.5,23919606
273,6/11/2021,609.89,610.23,612.56,601.52,16205303
274,6/14/2021,617.69,612.23,625.49,609.18,20423984
275,6/15/2021,599.36,616.69,616.79,598.23,17764144
276,6/16/2021,604.87,597.535,608.5,593.5,22144128
277,6/17/2021,616.6,601.888,621.47,601.34,22701350
278,6/18/2021,623.31,613.37,628.35,611.8,24560904
279,6/21/2021,620.83,624.48,631.39,608.88,24812740
280,6/22/2021,623.71,618.25,628.569,615.5,19158892
281,6/23/2021,656.57,632.0,657.204,630.04,31099228
282,6/24/2021,679.82,674.99,697.62,667.61,45982384
283,6/25/2021,671.87,689.58,693.81,668.7,32496708
284,6/28/2021,688.72,671.64,694.7,670.32,21628160
285,6/29/2021,680.76,684.65,687.51,675.89,17381312
286,6/30/2021,679.7,679.77,692.81,678.14,18924862
287,7/1/2021,677.92,683.92,687.99,672.8,18634522
288,7/2/2021,678.9,678.98,700.0,673.26,27097374
289,7/6/2021,659.58,681.711,684.0,651.4,23284450
290,7/7/2021,644.65,664.27,665.7,638.32,18791960
291,7/8/2021,652.81,628.37,654.43,620.46,22773316
292,7/9/2021,656.95,653.185,658.91,644.69,18140548
293,7/12/2021,685.7,662.2,687.24,662.1610000000001,25927042
294,7/13/2021,668.54,686.32,693.28,666.296,20966092
295,7/14/2021,653.38,670.75,678.61,652.84,21641190
296,7/15/2021,650.6,658.39,666.14,637.88,20209572
297,7/16/2021,644.22,654.68,656.7,642.2,16370970
298,7/19/2021,646.22,629.89,647.2,621.29,21297090
299,7/20/2021,660.5,651.99,662.3919999999999,640.501,15487127
300,7/21/2021,655.29,659.61,664.86,650.29,13953338
301,7/22/2021,649.26,656.443,662.17,644.6,15105727
302,7/23/2021,643.38,646.36,648.8,637.3,14604944
303,7/26/2021,657.62,650.97,668.2,647.11,25336556
304,7/27/2021,644.78,663.4,666.5,627.24,32813290
305,7/28/2021,646.98,646.995,654.97,639.4,16006596
306,7/29/2021,677.35,649.79,683.69,648.8,30394636
307,7/30/2021,687.2,671.758,697.53,669.0,29656412
308,8/2/2021,709.67,700.0,726.94,698.4,33615764
309,8/3/2021,709.74,719.0,722.65,701.01,21620252
310,8/4/2021,710.92,711.0,724.9,708.93,17002648
311,8/5/2021,714.63,716.0,720.95,711.41,12919637
312,8/6/2021,699.1,711.9,716.33,697.63,15623049
